locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
pt-BR,Latam_POR_BR_024,elevenlabs,scribe_v2,172,47.893,2.29%,0.0137,0.0228,0.0321,0.9679,28,0.9,29,1,12,0.4,0.997,0.9863,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
es-VE,Latam_SPA_VE_036,elevenlabs,scribe_v2,119,39.714,2.22%,0.0138,0.0221,0.0325,0.9675,21,1.1,9,0.5,14,0.7,0.9769,0.9862,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
pt-BR,Latam_POR_BR_275,elevenlabs,scribe_v2,189,44.031,2.12%,0.0124,0.0211,0.0307,0.9693,21,1,15,0.7,10,0.5,0.9998,0.9876,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_181,elevenlabs,scribe_v2,124,48.557,1.91%,0.0155,0.0189,0.0248,0.9752,17,0.6,4,0.1,33,1.2,0.9899,0.9847,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
pt-BR,Latam_POR_BR_018,elevenlabs,scribe_v2,35,38.34,1.65%,0.0082,0.0164,0.0259,0.9741,21,1,6,0.3,9,0.4,1,0.9918,Portuguese,Portuguese,Brazilian Portuguese,15.37,Medium,Unknown,São Paulo,Unknown,No Overlap,Low,Low,São Paulo,São Paulo,45,0
pt-BR,Latam_POR_BR_273,elevenlabs,scribe_v2,122,56.665,1.55%,0.0096,0.0155,0.0215,0.9785,21,0.6,27,0.8,6,0.2,1,0.9904,Portuguese,Portuguese,Brazilian Portuguese,21.67,Long,Unknown,São Paulo,Unknown,No Overlap,Medium,Medium,São Paulo,Rio de Janeiro,66,0
es-PE,Latam_SPA_PE_018,elevenlabs,scribe_v2,39,39.856,1.46%,0.0086,0.0146,0.0236,0.9764,21,0.9,7,0.3,6,0.3,0.9898,0.9914,Spanish,Spanish,Peruvian Spanish,15.15,Medium,Unknown,Nuevo Chimbote,Unknown,No Overlap,Medium,Medium,Nuevo Chimbote,Trujillo,75,0
es-PE,Latam_SPA_PE_065,elevenlabs,scribe_v2,49,42.958,1.31%,0.0091,0.0131,0.0205,0.9795,20,0.8,6,0.2,9,0.3,1,0.9909,Spanish,Spanish,Peruvian Spanish,15.27,Medium,Unknown,Trujillo,Unknown,No Overlap,Medium,Medium,Trujillo,Lima,61,0
es-VE,Latam_SPA_VE_016,elevenlabs,scribe_v2,211,77.8,1.17%,0.0063,0.0117,0.0185,0.9815,35,0.7,10,0.2,14,0.3,0.9903,0.9937,Spanish,Spanish,Venezuelan Spanish,30.3,Long,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Caracas,149,0
es-PE,Latam_SPA_PE_071,elevenlabs,scribe_v2,64,39.305,1.00%,0.0044,0.0099,0.0165,0.9835,14,0.7,1,0,6,0.3,0.9896,0.9956,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
pt-BR,Latam_POR_BR_299,elevenlabs,scribe_v2,119,35.957,0.91%,0.0054,0.0091,0.0156,0.9844,13,0.7,1,0.1,4,0.2,0.9967,0.9946,Portuguese,Portuguese,Brazilian Portuguese,14.75,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Marília,105,0
pt-BR,Latam_POR_BR_279,elevenlabs,scribe_v2,137,49.158,0.89%,0.0057,0.0089,0.0124,0.9876,9,0.3,8,0.3,6,0.2,0.9642,0.9943,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,Florianópolis,55,0
es-PE,Latam_SPA_PE_056,elevenlabs,scribe_v2,85,71.987,0.75%,0.0053,0.0075,0.0108,0.9892,14,0.3,9,0.2,9,0.2,0.9986,0.9947,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
pt-BR,Latam_POR_BR_193,elevenlabs,scribe_v2,146,54.002,0.63%,0.0026,0.0063,0.0093,0.9907,9,0.3,5,0.2,5,0.2,0.9989,0.9974,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
es-VE,Latam_SPA_VE_031,elevenlabs,scribe_v2,112,43.451,0.51%,0.0022,0.0051,0.0079,0.9921,5,0.3,1,0.1,3,0.2,0.9998,0.9978,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_208,elevenlabs,scribe_v2,14,22.301,0.44%,0.0016,0.0044,0.0087,0.9913,3,0.4,0,0,0,0,0.9937,0.9984,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
